NCBI_ID	predicted_mobility
NZ_CP033404.1	conjugative
NZ_CP033629.1	conjugative
NZ_CP033634.1	conjugative
NZ_CP033761.1	conjugative
NZ_CP033847.1	conjugative
NZ_CP033881.1	conjugative
NZ_CP033948.1	non-mobilizable
NZ_CP033962.1	mobilizable
NZ_CP034048.1	conjugative
NZ_CP034108.1	conjugative
NZ_CP034125.1	mobilizable
NZ_CP034167.1	conjugative
NZ_CP034214.1	conjugative
NZ_CP034396.1	conjugative
NZ_CP034401.1	conjugative
NZ_CP034417.1	mobilizable
NZ_CP034592.1	conjugative
NZ_CP034739.1	conjugative
NZ_CP034932.1	conjugative
NZ_CP034956.1	mobilizable
NZ_CP034964.1	conjugative
NZ_CP035314.1	conjugative
NZ_CP035468.1	conjugative
NZ_CP035470.1	conjugative
NZ_CP035478.1	conjugative
NZ_CP035479.1	conjugative
NZ_CP035517.1	conjugative
NZ_CP035518.1	conjugative
NZ_CP035722.1	conjugative
NZ_CP035752.1	conjugative
NZ_CP035815.1	conjugative
NZ_CP035821.1	conjugative
NZ_CP035825.1	mobilizable
NZ_CP035828.1	conjugative
NZ_CP035829.1	conjugative
NZ_CP035835.1	conjugative
NZ_CP035838.1	conjugative
NZ_CP035839.1	conjugative
NZ_CP035848.1	conjugative
NZ_CP035851.1	conjugative
NZ_CP035857.1	conjugative
NZ_CP035858.1	conjugative
NZ_CP035863.1	conjugative
NZ_CP035868.1	conjugative
NZ_CP035875.1	conjugative
NZ_CP035881.1	conjugative
NZ_CP035883.1	conjugative
NZ_CP035885.1	conjugative
NZ_CP036180.1	conjugative
NZ_CP036244.1	conjugative
NZ_CP036301.1	conjugative
NZ_CP036306.1	mobilizable
NZ_CP036329.1	non-mobilizable
NZ_CP036362.1	conjugative
NZ_CP036366.1	conjugative
NZ_CP036367.1	conjugative
NZ_CP036372.1	conjugative
NZ_CP037904.1	conjugative
NZ_CP037912.1	conjugative
NZ_CP037947.1	conjugative
NZ_CP038182.1	conjugative
NZ_CP038338.1	conjugative
NZ_CP038385.1	conjugative
NZ_CP038393.1	conjugative
NZ_CP038413.1	conjugative
NZ_CP038455.1	conjugative
NZ_CP038792.1	conjugative
NZ_CP038858.1	conjugative
NZ_CP039405.1	conjugative
NZ_CP039513.2	conjugative
NZ_CP039562.1	conjugative
NZ_CP039810.1	conjugative
NZ_CP039820.1	conjugative
NZ_CP040070.1	mobilizable
NZ_CP040124.1	mobilizable
NZ_CP040265.1	conjugative
NZ_CP040398.1	mobilizable
NZ_CP040454.1	conjugative
NZ_CP040535.1	conjugative
NZ_CP040541.1	conjugative
NZ_CP040547.1	conjugative
NZ_CP040807.1	conjugative
NZ_CP040835.1	conjugative
NZ_CP040885.1	conjugative
NZ_CP040922.1	conjugative
NZ_CP040995.1	conjugative
NZ_CP041032.1	mobilizable
NZ_CP041102.1	conjugative
NZ_CP041111.1	conjugative
NZ_CP041177.1	conjugative
NZ_CP041299.1	conjugative
NZ_CP041301.1	conjugative
NZ_CP041303.1	conjugative
NZ_CP041338.1	conjugative
NZ_CP041339.1	conjugative
NZ_CP041358.1	conjugative
NZ_CP041363.1	conjugative
NZ_CP041375.1	mobilizable
NZ_CP041393.1	conjugative
NZ_CP041414.1	conjugative
NZ_CP041415.1	conjugative
NZ_CP041421.1	conjugative
NZ_CP041424.1	conjugative
NZ_CP041428.1	conjugative
NZ_CP041430.1	conjugative
NZ_CP041432.1	conjugative
NZ_CP041434.1	conjugative
NZ_CP041436.1	conjugative
NZ_CP041438.1	conjugative
NZ_CP041439.1	conjugative
NZ_CP041619.1	mobilizable
NZ_CP041920.1	conjugative
NZ_CP041948.1	conjugative
NZ_CP041957.1	conjugative
NZ_CP041997.1	conjugative
NZ_CP042245.1	conjugative
NZ_CP042247.1	conjugative
NZ_CP042297.1	conjugative
NZ_CP042337.1	conjugative
NZ_CP042338.1	conjugative
NZ_CP042586.1	conjugative
NZ_CP042879.1	conjugative
NZ_CP042881.1	non-mobilizable
NZ_CP042887.1	conjugative
NZ_CP042897.1	conjugative
NZ_CP042943.1	conjugative
NZ_CP042972.1	conjugative
NZ_CP043219.1	conjugative
NZ_CP043229.1	conjugative
NZ_CP043230.1	non-mobilizable
NZ_CP043273.1	conjugative
NZ_CP043276.1	non-mobilizable
NZ_CP043282.1	conjugative
NZ_CP043286.1	conjugative
NZ_CP043289.1	conjugative
NZ_CP043297.1	conjugative
NZ_CP043336.1	conjugative
NZ_CP043338.1	conjugative
NZ_CP043345.1	non-mobilizable
NZ_CP043354.1	conjugative
NZ_CP043355.1	non-mobilizable
NZ_CP043358.1	conjugative
NZ_CP043407.1	conjugative
NZ_CP043408.1	conjugative
NZ_CP043415.1	conjugative
NZ_CP043824.1	conjugative
NZ_CP043829.1	conjugative
NZ_CP043851.1	conjugative
NZ_CP043935.1	conjugative
NZ_CP043945.1	conjugative
NZ_CP043948.1	non-mobilizable
NZ_CP043949.1	conjugative
NZ_CP043952.1	conjugative
NZ_CP044043.1	non-mobilizable
NZ_CP044149.1	conjugative
NZ_CP044156.1	conjugative
NZ_CP044190.1	conjugative
NZ_CP044259.1	mobilizable
NZ_CP044404.1	conjugative
NZ_CP044440.1	conjugative
NZ_CP045019.1	non-mobilizable
NZ_CP045020.1	non-mobilizable
NZ_CP045207.1	conjugative
NZ_CP045264.1	mobilizable
NZ_CP045279.1	conjugative
NZ_CP045525.1	conjugative
NZ_CP045713.1	conjugative
NZ_CP045714.1	conjugative
NZ_CP045828.1	conjugative
NZ_CP045934.1	conjugative
NZ_CP045943.1	conjugative
NZ_CP045953.1	conjugative
NZ_CP046117.1	conjugative
NZ_CP046261.1	conjugative
NZ_CP046417.1	conjugative
NZ_CP046540.1	conjugative
NZ_CP046718.1	conjugative
NZ_CP047003.1	mobilizable
NZ_CP047011.1	conjugative
NZ_CP047161.1	mobilizable
NZ_CP047194.1	mobilizable
NZ_CP047380.1	conjugative
NZ_CP047381.1	conjugative
NZ_CP047406.1	non-mobilizable
NZ_CP047407.1	conjugative
NZ_CP047577.1	conjugative
NZ_CP047597.1	conjugative
NZ_CP047601.1	conjugative
NZ_CP047613.1	conjugative
NZ_CP047637.1	conjugative
NZ_CP047660.1	conjugative
NZ_CP047667.1	conjugative
NZ_CP047712.1	conjugative
NZ_CP047713.1	conjugative
NZ_CP047742.1	conjugative
NZ_CP047878.1	conjugative
NZ_CP048011.1	mobilizable
NZ_CP048012.1	mobilizable
NZ_CP048026.1	conjugative
NZ_CP048311.1	conjugative
NZ_CP048331.1	conjugative
NZ_CP048338.1	conjugative
NZ_CP048345.1	non-mobilizable
NZ_CP048360.1	conjugative
NZ_CP048362.1	conjugative
NZ_CP048368.1	conjugative
